x_m,y_m,s_m
8.29887,7.03899,14.91799
8.30217,7.02418,14.93799
8.30391,7.01415,14.95796
8.30531,6.99980,14.97796
8.30691,6.98540,14.99795
8.30740,6.97136,15.01795
8.30804,6.95384,15.03795
8.30825,6.93858,15.05794
8.30791,6.92129,15.07793
8.30764,6.90455,15.09793
8.30670,6.88808,15.11793
8.30569,6.87039,15.13793
8.30446,6.85519,15.15792
8.30250,6.83801,15.17791
8.30056,6.82058,15.19791
8.29811,6.80340,15.21791
8.29543,6.78470,15.23791
8.29271,6.76704,15.25790
8.28959,6.74852,15.27790
8.28685,6.73206,15.29790
8.28348,6.71598,15.31790
8.27959,6.69749,15.33789
8.27571,6.67987,15.35789
8.27140,6.66149,15.37789
8.26727,6.64381,15.39789
8.26279,6.62638,15.41788
8.25810,6.60819,15.43788
8.25352,6.59130,15.45788
8.24836,6.57347,15.47788
8.24334,6.55607,15.49787
8.23797,6.53894,15.51787
8.23216,6.52045,15.53787
8.22640,6.50246,15.55787
8.22036,6.48407,15.57786
8.21493,6.46749,15.59786
8.20906,6.45129,15.61786
8.20245,6.43310,15.63786
8.19587,6.41528,15.65785
8.18902,6.39711,15.67785
8.18262,6.38012,15.69785
8.17591,6.36340,15.71785
8.16873,6.34558,15.73784
8.16169,6.32846,15.75784
8.15423,6.31084,15.77784
8.14680,6.29328,15.79784
8.13922,6.27587,15.81784
8.13167,6.25859,15.83783
8.12448,6.24264,15.85783
8.11657,6.22587,15.87783
8.10842,6.20856,15.89782
8.10012,6.19141,15.91782
8.09175,6.17413,15.93782
8.08365,6.15775,15.95782
8.07503,6.14081,15.97781
8.06665,6.12434,15.99781
8.05804,6.10813,16.01781
8.04888,6.09095,16.03781
8.03984,6.07416,16.05781
8.03051,6.05709,16.07780
8.02193,6.04138,16.09780
8.01305,6.02605,16.11780
8.00340,6.00943,16.13780
7.99395,5.99342,16.15779
7.98405,5.97699,16.17779
7.97428,5.96079,16.19779
7.96436,5.94479,16.21779
7.95439,5.92873,16.23778
7.94492,5.91386,16.25778
7.93466,5.89832,16.27778
7.92445,5.88282,16.29778
7.91404,5.86759,16.31777
7.90345,5.85214,16.33777
7.89351,5.83802,16.35777
7.88262,5.82316,16.37776
7.87359,5.81071,16.39776
7.86406,5.79914,16.41776
7.85303,5.78573,16.43776
7.84344,5.77465,16.45774
7.83189,5.76230,16.47774
7.82212,5.75169,16.49774
7.81194,5.74219,16.51773
7.79980,5.73081,16.53773
7.78990,5.72213,16.55772
7.77732,5.71215,16.57771
7.76654,5.70342,16.59771
7.75550,5.69593,16.61770
7.74181,5.68659,16.63770
7.73073,5.67955,16.65768
7.71677,5.67163,16.67768
7.70467,5.66459,16.69768
7.69248,5.65881,16.71767
7.67732,5.65156,16.73767
7.66484,5.64606,16.75766
7.64960,5.64014,16.77766
7.63609,5.63478,16.79765
7.62266,5.63057,16.81765
7.60599,5.62531,16.83765
7.59148,5.62111,16.85764
7.57483,5.61690,16.87763
7.55968,5.61300,16.89763
7.54468,5.61003,16.91763
7.52702,5.60653,16.93762
7.51116,5.60370,16.95762
7.49360,5.60105,16.97762
7.47659,5.59844,16.99761
7.45973,5.59645,17.01761
7.44135,5.59430,17.03761
7.42442,5.59257,17.05760
7.40620,5.59108,17.07760
7.38837,5.58960,17.09760
7.37069,5.58858,17.11760
7.35157,5.58751,17.13759
7.33317,5.58661,17.15759
7.31410,5.58589,17.17759
7.29556,5.58518,17.19759
7.27714,5.58479,17.21758
7.25749,5.58440,17.23758
7.23802,5.58406,17.25758
7.21833,5.58378,17.27758
7.19833,5.58350,17.29758
7.17834,5.58322,17.31757
